"","name"
"1","q1_UAPS.RURAL...Buiéié"
"2","q2_UAPS.RURAL...Caeté"
"3","q3_UAPS.RURAL...Chapéu.D.Uvas"
"4","q4_UAPS.RURAL...Dias.Tavares"
"5","q5_UAPS.RURAL...Humaitá"
"6","q6_UAPS.RURAL...Igrejinha"
"7","q7_UAPS.RURAL...Jacutinga"
"8","q8_UAPS.RURAL...Monte.Verde"
"9","q9_UAPS.RURAL...Palmital"
"10","q10_UAPS.RURAL...Paula.Lima"
"11","q11_UAPS.RURAL...Peno"
"12","q12_UAPS.RURAL...Pirapetinga"
"13","q13_UAPS.RURAL...Pires"
"14","q14_UAPS.RURAL...Privilégio"
"15","q15_UAPS.RURAL...Rosário.de.Minas"
"16","q16_UAPS.RURAL...Sarandira"
"17","q17_UAPS.RURAL...Toledos"
"18","q18_UAPS.RURAL...Torreões"
"19","q19_UAPS.RURAL...Valadares"
"20","q20_UAPS.URBANA...Centro.Sul"
"21","q21_UAPS.URBANA...Dom.Bosco"
"22","q22_UAPS.URBANA...Santa.Cecília"
"23","q23_UAPS.URBANA...Bairro.Industrial"
"24","q24_UAPS.URBANA...Barreira.do.Triunfo"
"25","q25_UAPS.URBANA...Benfica"
"26","q26_UAPS.URBANA...Cade.do.Sol"
"27","q27_UAPS.URBANA...Esplanada"
"28","q28_UAPS.URBANA...Jardim.Natal"
"29","q29_UAPS.URBANA...Jóquei.Clube.I"
"30","q30_UAPS.URBANA...Jóquei.Clube.II"
"31","q31_UAPS.URBANA...Milho.Branco"
"32","q32_UAPS.URBANA...Monte.Castelo"
"33","q33_UAPS.URBANA...Nova.Era"
"34","q34_UAPS.URBANA...Santa.Cruz"
"35","q35_UAPS.URBANA...São.Judas.Tadeu"
"36","q36_UAPS.URBANA...Vila.Esperança"
"37","q37_UAPS.URBANA...Alto.Grajaú"
"38","q38_UAPS.URBANA...Filgueiras"
"39","q39_UAPS.URBANA...Linhares"
"40","q40_UAPS.URBANA...Marumbí"
"41","q41_UAPS.URBANA...Nossa.Senhora.Apareca"
"42","q42_UAPS.URBANA...Progresso"
"43","q43_UAPS.URBANA...Santa.Cânda.São.Sebastião"
