R�tulos de Linha;Contagem de target
q1_UAPS.RURAL...Bui̩i̩;2
q10_UAPS.RURAL...Paula.Lima;4
q100_Ajuda.M̼tua...Grupo.A.A..Estrela.D.Alva;4
q101_Ajuda.M̼tua...Grupo.A.A..Primeira.Tradi̤̣o;4
q102_Ajuda.M̼tua...Grupo.A.A.Primeiro.Passo;3
q103_Ajuda.M̼tua...Grupo.A.A..Estrela.do.Oriente;6
q104_Ajuda.M̼tua...Grupo.de.Apoio.Ṣo.Pedro.do.Amor.Exigente..GASPAE.;11
q105_Ajuda.M̼tua...Grupo.A.A.Elo.da.Esperan̤a;4
q106_Ajuda.M̼tua...Grupo.A.A.Duas.Vas;5
q107_Ajuda.M̼tua...Grupo.A.A..Vinte.e.Cinco.de.Abril;4
q108_Ajuda.M̼tua...Grupo.A.A..Liberdade;4
q109_Ajuda.M̼tua...Igreja.Batista.Resplandecente.Estrela.do.Amanḥ.IBREM.1;2
q11_UAPS.RURAL...Peno;3
q110_Ajuda.M̼tua...Grupo.A.A..Ipiranga;3
q111_Ajuda.M̼tua...Grupo.N.A.Rendi̤̣o;1
q112_Ajuda.M̼tua.Escrit�_rio.de.Servi̤os.Locais;1
q113_Ajuda.M̼tua.GABENAE...Grupo.de.apoio.Benfica.de.amor.exigente;4
q114_Ajuda.M̼tua.GASMAE...Grupo.de.apoio.Ṣo.Mateus.de.amor.exigente;4
q115_Ajuda.M̼tua.Grupo.de.amor.exigente...Linhares;4
q116_Ajuda.M̼tua.Grupo.de.amor.exigente...Santa.Terezinha;4
q117_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Associa̤̣o.Beneficente.Crisṭ.Restituir;3
q118_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Centro.de.Recupera̤̣o.Resgatando.Vas..Escrit�_rio.;18
q119_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Centro.Metodista.de.Assist̻ncia.aos.Toxic̫manos...CEMAT..Escrit�_rio.;8
q12_UAPS.RURAL...Pirapetinga;4
q120_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Centro.Terap̻utico.Reconstruir..escrit�_rio.;2
q121_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Grupo.de.Apoio.��.Fam�_lia.e.aos.Dependentes.Qu�_micos...GAFADEQUI..Administra̤̣o..triagem.e.apoio.aos.familiares.;4
q122_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Associa̤̣o.Projeto.Amor.e.Restaura̤̣o...APAR;11
q123_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Vila.Verde..Unade.Brom̩lias.;2
q124_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Centro.de.Recupera̤̣o.Juiz.de.Fora.Contra.as.Drogas;10
q126_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...N̼cleo.de.Apoio.aos.Toxic̫manos.An̫nimos.de.Juiz.de.Fora..NATA.;7
q127_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Centro.Metodista.de.Assist̻ncia.aos.Toxic̫manos...CEMAT;11
q128_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Comunade.Terap̻utica.Fam�_lia.em.Cristo;1
q129_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Centro.de.Recupera̤̣o.SOS.Va;7
q13_UAPS.RURAL...Pires;3
q130_Entades.Assist̻nciais.e.Dependencia.Qu�_mica.e.CT...Centro.Terap̻utico.Reconstruir..fazenda.;2
