"","atividade_indegree","atividade_outdegree","atividade_totaldegree","atividade_incloseness","atividade_outcloseness","atividade_totalcloseness","atividade_betweenness","atividade_eigenvector","atividade_reach_in_vec","atividade_reach_out_vec"
"163",66,89,155,0.000136109976861304,0.00145772594752187,0.0021978021978022,5539.8,0.605,0.796791443850267,NA
"192",36,48,84,0.000135226504394861,0.00133155792276964,0.00193050193050193,2138,0.384,0.796791443850267,NA
"170",102,98,200,0.000136892539356605,0.0014903129657228,0.00222222222222222,12355.1,1,0.796791443850267,NA
"177",15,36,51,0.000134898151895319,0.00133868808567604,0.00182149362477231,826.2,0.237,0.796791443850267,NA
"185",20,20,40,0.000135025654874426,0.00122850122850123,0.0017921146953405,131,0.33,0.796791443850267,NA
"187",15,25,40,0.000134898151895319,0.00122249388753056,0.00176678445229682,135.3,0.225,0.796791443850267,NA
"164",14,27,41,0.000134535180949818,0.0012453300124533,0.00174216027874564,197.7,0.177,0.796791443850267,NA
"118",13,27,40,0.000133689839572193,0.00129198966408269,0.00186219739292365,762,0.121,0.796791443850267,NA
"134",2,6,8,0.000131181949363768,0.00120192307692308,0.00166389351081531,9.8,0.007,0.796791443850267,NA
"136",6,4,10,0.000133049494411921,0.00120336943441637,0.00166112956810631,22,0.038,0.796791443850267,NA
"181",20,11,31,0.000135025654874426,0.00121359223300971,0.00174825174825175,396.6,0.284,0.796791443850267,NA
"180",18,8,26,0.000135080372821829,0.00118203309692671,0.00175438596491228,50.2,0.259,0.796791443850267,NA
"117",2,26,28,0.000132152768600502,0.00127713920817369,0.00173611111111111,479.2,0.008,0.796791443850267,NA
"138",3,21,24,0.00013262599469496,0.00127877237851662,0.00174216027874564,285.3,0.026,0.796791443850267,NA
"22",5,2,7,0.000134625740441572,0.00117233294255569,0.00165016501650165,0.7,0.138,0.796791443850267,NA
"145",3,8,11,0.000134354426978369,0.00121212121212121,0.00168067226890756,1.6,0.082,0.796791443850267,NA
"184",17,59,76,0.000135043889264011,0.00139082058414465,0.00193050193050193,1171.6,0.285,0.796791443850267,NA
"191",32,18,50,0.00013531799729364,0.00126903553299492,0.00181818181818182,377.8,0.368,0.796791443850267,NA
"151",2,9,11,0.000132608407373027,0.00120481927710843,0.00165016501650165,392.1,0.017,0.796791443850267,NA
"162",7,8,15,0.000134517083669626,0.00119904076738609,0.00170940170940171,382.3,0.128,0.796791443850267,NA
"172",15,15,30,0.000134879956838414,0.00123762376237624,0.00175746924428822,151.9,0.236,0.796791443850267,NA
"137",4,7,11,0.000132661183337755,0.001194743130227,0.00164203612479475,118.2,0.018,0.796791443850267,NA
"173",16,9,25,0.000134879956838414,0.00119904076738609,0.00173913043478261,43,0.264,0.796791443850267,NA
"112",1,37,38,0.00013080444735121,0.00133689839572193,0.00183823529411765,361.1,0.004,0.796791443850267,NA
"160",2,3,5,0.000130310138128746,0.00116959064327485,0.00162074554294976,96.1,0.001,0.796791443850267,NA
"68",2,3,5,0.000134264232008593,0.00103950103950104,0.00166666666666667,42.4,0.059,0.796791443850267,NA
"71",3,2,5,0.000132327643244674,0.00116279069767442,0.00171821305841924,32.8,0.013,0.796791443850267,NA
"174",18,30,48,0.000134916351861846,0.00130039011703511,0.0018018018018018,585.5,0.264,0.796791443850267,NA
"176",13,32,45,0.000134879956838414,0.00132275132275132,0.00178571428571429,618.6,0.233,0.796791443850267,NA
"179",13,19,32,0.000134879956838414,0.00127877237851662,0.00177619893428064,337.9,0.231,0.796791443850267,NA
"175",17,11,28,0.000134952766531714,0.00123915737298637,0.00175746924428822,110.1,0.284,0.796791443850267,NA
