"","var5_indegree","var5_outdegree","var5_totaldegree","var5_incloseness","var5_outcloseness","var5_totalcloseness","var5_betweenness","var5_eigenvector","var5_reach_in_vec","var5_reach_out_vec"
"163",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"192",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"170",3,4,7,2.92192613370734e-05,2.93789294318115e-05,0.000103092783505155,9,0,0.0213903743315508,NA
"177",1,7,8,2.89050757312984e-05,2.9868578255675e-05,0.00010136847440446,2,0,0.0106951871657754,NA
"185",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"187",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"164",0,27,27,2.87505031338048e-05,3.44578064160436e-05,0.000102870075095155,0,0,0.0053475935828877,NA
"118",1,2,3,2.9060474848159e-05,2.98641182619083e-05,0.000100321027287319,14,0,0.0160427807486631,NA
"134",1,0,1,2.89050757312984e-05,2.87505031338048e-05,9.91375037176564e-05,0,0,0.0106951871657754,NA
"136",1,0,1,2.9216700265872e-05,2.87505031338048e-05,9.89805008413342e-05,0,0,0.0213903743315508,NA
"181",1,0,1,2.9060474848159e-05,2.87505031338048e-05,0.000101081572829273,0,0,0.0160427807486631,NA
"180",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00010112245929821,0,0,0.0106951871657754,NA
"117",1,0,1,2.9060474848159e-05,2.87505031338048e-05,9.91965082829084e-05,0,0,0.0160427807486631,NA
"138",1,5,6,2.9216700265872e-05,2.95403521209973e-05,0.000101522842639594,15,0,0.0213903743315508,NA
"22",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000102009588901357,0,0,0.0160427807486631,NA
"145",1,0,1,2.9375477351507e-05,2.87505031338048e-05,0.000100512614333099,0,0,0.0267379679144385,NA
"184",0,42,42,2.87505031338048e-05,3.81228317639434e-05,0.000102522042239081,0,0,0.0053475935828877,NA
"191",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"151",1,2,3,2.89050757312984e-05,2.90613193839e-05,2.90613193839e-05,1,0,0.0106951871657754,NA
"162",1,5,6,2.89050757312984e-05,2.98659020995729e-05,0.000101791530944625,1,0,0.0106951871657754,NA
"172",1,6,7,2.9376340295526e-05,2.97035584863067e-05,0.000100775975007558,8,0,0.0267379679144385,NA
"137",1,2,3,2.89050757312984e-05,2.90613193839e-05,2.90613193839e-05,0,0,0.0106951871657754,NA
"173",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"112",0,35,35,2.87505031338048e-05,4.06901041666667e-05,0.000102976006590464,0,0,0.0053475935828877,NA
"160",1,0,1,2.9060474848159e-05,2.87505031338048e-05,2.9060474848159e-05,0,0,0.0160427807486631,NA
"68",1,3,4,2.89050757312984e-05,2.92192613370734e-05,0.000102480016396803,2,0,0.0106951871657754,NA
"71",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"174",0,13,13,2.87505031338048e-05,3.08985292300087e-05,0.000101491931391454,0,0,0.0053475935828877,NA
"176",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00010112245929821,0,0,0.0106951871657754,NA
"179",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00010112245929821,0,0,0.0106951871657754,NA
"175",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00010112245929821,0,0,0.0106951871657754,NA
"64",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00010112245929821,0,0,0.0106951871657754,NA
"190",1,0,1,2.9375477351507e-05,2.87505031338048e-05,0.000100512614333099,0,0,0.0267379679144385,NA
"107",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"178",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00010112245929821,0,0,0.0106951871657754,NA
"132",1,2,3,2.89050757312984e-05,2.90613193839e-05,2.90613193839e-05,0,0,0.0106951871657754,NA
"124",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"139",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"144",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"158",2,15,17,2.9218407596786e-05,3.12578144536134e-05,0.000101895251681272,35.5,0,0.0213903743315508,NA
"188",1,0,1,2.9375477351507e-05,2.87505031338048e-05,0.000100512614333099,0,0,0.0267379679144385,NA
"194",2,3,5,2.9218407596786e-05,3.12460942382202e-05,0.000101708706265256,14,0,0.0213903743315508,NA
"195",1,3,4,2.9216700265872e-05,3.12460942382202e-05,0.000101708706265256,0,0,0.0213903743315508,NA
"122",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"159",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"183",2,0,2,2.95368620037807e-05,2.87505031338048e-05,0.000101512536798295,0,0,0.0320855614973262,NA
"110",2,0,2,2.90613193839e-05,2.87505031338048e-05,0.000101729399796541,0,0,0.0160427807486631,NA
"146",1,0,1,2.9375477351507e-05,2.87505031338048e-05,0.000100512614333099,0,0,0.0267379679144385,NA
"147",1,0,1,2.9375477351507e-05,2.87505031338048e-05,0.000100512614333099,0,0,0.0267379679144385,NA
"148",1,0,1,2.9375477351507e-05,2.87505031338048e-05,0.000100512614333099,0,0,0.0267379679144385,NA
"149",1,0,1,2.9375477351507e-05,2.87505031338048e-05,0.000100512614333099,0,0,0.0267379679144385,NA
"150",1,0,1,2.9375477351507e-05,2.87505031338048e-05,0.000100512614333099,0,0,0.0267379679144385,NA
"128",1,0,1,2.9060474848159e-05,2.87505031338048e-05,9.91965082829084e-05,0,0,0.0160427807486631,NA
"67",4,0,4,2.9539479514371e-05,2.87505031338048e-05,0.000102061645233721,0,0,0.0320855614973262,NA
