"";"from";"to";"weight";"width";"color";"edge.btweenness";"walktrap.community.x";"walktrap.community.y";"group"
"1";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CAPS_AD";1;1;"gray";73,1873010029895;8;8;"8"
"2";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CRAS_AS_ CRAS Sudeste Costa Carvalho";1;1;"gray";154,354306476832;8;3;NA
"3";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CRE_SOC_ CREAS Infância e Juventude";1;1;"gray";31,2503340190417;8;3;NA
"4";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CRE_SOC_ CREAS Norte";1;1;"gray";32,9062245697465;8;8;"8"
"5";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CRAS_AS_ CRAS Norte Benfica";1;1;"gray";46,5946495005768;8;8;"8"
"6";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CRAS_AS_ CRAS Centro";1;1;"gray";29,0238095238095;8;8;"8"
"7";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"UAP_URB_ Santa Cecília";1;1;"gray";46,2833333333333;8;3;NA
"8";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CRE_SOC_ CREAS Idoso e Mulher";1;1;"gray";93,8355426236998;8;3;NA
"9";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"URG_EME_ Serviço de Atendimento Móvel de Urgência (SAMU)";1;1;"gray";23,8601990579545;8;4;NA
"10";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CAPS_CO_ CAPS HU";1;1;"gray";36,5529824950384;8;3;NA
"11";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CAPS_CO_ CAPS IJ";1;1;"gray";30,2144315213975;8;3;NA
"12";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CAPS_CO_ CAPS Leste";1;1;"gray";89,7722794175289;8;3;NA
"13";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CRAS_AS_ CRAS Leste São Benedito";1;1;"gray";144,596170776365;8;3;NA
"14";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CRAS_AS_ CRAS Nordeste Grama";1;1;"gray";74,8061882561882;8;3;NA
"15";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CRAS_AS_ CRAS Leste Linhares";1;1;"gray";31,8354892331099;8;3;NA
"16";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"UAP_URB_ Parque Guarani";1;1;"gray";103,386332913019;8;3;NA
"17";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"ACO_INS_ Casa da Cidadania";1;1;"gray";37,8179359305693;8;3;NA
"18";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CRAS_AS_ CRAS Sudeste Olavo Costa";1;1;"gray";39,8792562255949;8;3;NA
"19";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"CRA_SOC_ CRAS Sul Ipiranga";1;1;"gray";75,3609389842113;8;4;NA
"20";"ASS_HOS_ Hospital de Pronto Socorro – HPS";"UAP_URB_ São Pedro";1;1;"gray";167,77197046399;8;3;NA
