"";"ID";"Inserir.localização.geográfica.do.serviço (Atualizar com base no Google Earth)";"groups1a._geo_kml_latitude";"groups1a._geo_kml_longitude";"groups1a._geo_kml_altitude";"groups1a._geo_kml_precision"
"1";"q1_UAPS.RURAL...Buiéié";NA;NA;NA;NA;NA
"2";"q2_UAPS.RURAL...Caeté";NA;NA;NA;NA;NA
"3";"q3_UAPS.RURAL...Chapéu.D.Uvas";NA;NA;NA;NA;NA
"4";"q4_UAPS.RURAL...Dias.Tavares";NA;NA;NA;NA;NA
"5";"q5_UAPS.RURAL...Humaitá";NA;NA;NA;NA;NA
"6";"q6_UAPS.RURAL...Igrejinha";NA;NA;NA;NA;NA
"7";"q7_UAPS.RURAL...Jacutinga";NA;NA;NA;NA;NA
"8";"q8_UAPS.RURAL...Monte.Verde";"-21.86259157452484 -43.540748014845306 841.2297533945588 12.0";-21,8625915745248;-43,5407480148453;841,229753394559;12
"9";"q9_UAPS.RURAL...Palmital";NA;NA;NA;NA;NA
"10";"q10_UAPS.RURAL...Paula.Lima";NA;NA;NA;NA;NA
"11";"q11_UAPS.RURAL...Penido";NA;NA;NA;NA;NA
"12";"q12_UAPS.RURAL...Pirapetinga";NA;NA;NA;NA;NA
"13";"q13_UAPS.RURAL...Pires";NA;NA;NA;NA;NA
"14";"q14_UAPS.RURAL...Privilégio";NA;NA;NA;NA;NA
"15";"q15_UAPS.RURAL...Rosário.de.Minas";NA;NA;NA;NA;NA
"16";"q16_UAPS.RURAL...Sarandira";NA;NA;NA;NA;NA
"17";"q17_UAPS.RURAL...Toledos";NA;NA;NA;NA;NA
"18";"q18_UAPS.RURAL...Torreões";"-21.862505499099576 -43.5405609454881 790.9519365759082 8.0";-21,8625054990996;-43,5405609454881;790,951936575908;8
"19";"q19_UAPS.RURAL...Valadares";NA;NA;NA;NA;NA
"20";"q20_UAPS.URBANA...Centro.Sul";NA;NA;NA;NA;NA
"21";"q21_UAPS.URBANA...Dom.Bosco";"-21.778391798716104 -43.363756502729146 768.3423681636802 12.0";-21,7783917987161;-43,3637565027291;768,34236816368;12
"22";"q22_UAPS.URBANA...Santa.Cecília";"-21.782957482812336 -43.35407526884734 752.0968962902746 12.0";-21,7829574828123;-43,3540752688473;752,096896290275;12
"23";"q23_UAPS.URBANA...Bairro.Industrial";NA;NA;NA;NA;NA
"24";"q24_UAPS.URBANA...Barreira.do.Triunfo";NA;NA;NA;NA;NA
"25";"q25_UAPS.URBANA...Benfica";NA;NA;NA;NA;NA
"26";"q26_UAPS.URBANA...Cidade.do.Sol";NA;NA;NA;NA;NA
"27";"q27_UAPS.URBANA...Esplanada";"-21.74079859660071 -43.37773400064513 710.7273353862211 24.0";-21,7407985966007;-43,3777340006451;710,727335386221;24
"28";"q28_UAPS.URBANA...Jardim.Natal";"-21.731358575460973 -43.39821514985985 704.0055125518128 8.0";-21,731358575461;-43,3982151498599;704,005512551813;8
"29";"q29_UAPS.URBANA...Jóquei.Clube.I";"-21.72295109779155 -43.39769425868045 698.7355899369752 4.0";-21,7229510977916;-43,3976942586805;698,735589936975;4
"30";"q30_UAPS.URBANA...Jóquei.Clube.II";"-21.710903182780665 -43.410268093164746 674.0469111277048 32.0";-21,7109031827807;-43,4102680931647;674,046911127705;32
"31";"q31_UAPS.URBANA...Milho.Branco";NA;NA;NA;NA;NA
"32";"q32_UAPS.URBANA...Monte.Castelo";"-21.747247665320565 -43.38287192711577 691.3891192073044 16.0";-21,7472476653206;-43,3828719271158;691,389119207304;16
"33";"q33_UAPS.URBANA...Nova.Era";NA;NA;NA;NA;NA
"34";"q34_UAPS.URBANA...Santa.Cruz";"-21.709740296779742 -43.44061720948529 699.5931914352225 12.0";-21,7097402967797;-43,4406172094853;699,593191435222;12
"35";"q35_UAPS.URBANA...São.Judas.Tadeu";"-21.70378744 -43.43653031 695.7000122070313 21.0";-21,70378744;-43,43653031;695,700012207031;21
"36";"q36_UAPS.URBANA...Vila.Esperança";"-21.690353178137464 -43.44238120627149 685.0311393690059 6.0";-21,6903531781375;-43,4423812062715;685,031139369006;6
"37";"q37_UAPS.URBANA...Alto.Grajaú";NA;NA;NA;NA;NA
"38";"q38_UAPS.URBANA...Filgueiras";NA;NA;NA;NA;NA
"39";"q39_UAPS.URBANA...Linhares";"-21.7345078 -43.329141 0.0 38.0";-21,7345078;-43,329141;0;38
"40";"q40_UAPS.URBANA...Marumbí";"-21.7286007 -43.342365 0.0 1819.0";-21,7286007;-43,342365;0;1819
